latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,index_right,osm_id,nearest_industry_name,nearest_industry_type,nearest_landuse,nearest_man_made,nearest_power,nearest_industry_distance_m,industries_within_500m,industries_within_1km,industries_within_2km,nearest_industry_distance_km,NDVI,NDBI,NDWI
22.95061,72.41132,334.64,0.34,0.56,2026-03-17,859,N20,VIIRS,n,2,304.62,2.35,D,0,147,651103946,,,industrial,,,3909.09,0,0,0,3.909,0.3772545090180361,0.11650329423107826,-0.47123360984747126
23.24492,72.43323,340.61,0.35,0.57,2026-03-17,859,N20,VIIRS,n,2,309.36,2.48,D,0,448,13478804,,,,,generator,7487.08,0,0,0,7.487,0.3308270676691729,0.04379702874782944,-0.4172147555047183
22.83764,72.38744,336.83,0.52,0.42,2026-03-18,840,N20,VIIRS,n,2,309.87,2.16,D,0,144,651103938,,,industrial,,,1606.98,0,0,5,1.607,0.18075855689176687,0.10503435703267423,-0.35097375105842504
22.95463,72.41178,339.93,0.53,0.42,2026-03-18,840,N20,VIIRS,n,2,311.32,6.52,D,0,147,651103946,,,industrial,,,4306.93,0,0,0,4.307,0.20651602732527588,0.28739913097454994,-0.3442622950819672
22.95612,72.40912,339.78,0.53,0.42,2026-03-18,840,N20,VIIRS,l,2,311.35,6.91,D,0,147,651103946,,,industrial,,,4559.45,0,0,0,4.559,0.22602739726027396,0.21663019693654267,-0.34474123539232054
23.02453,72.59813,335.73,0.54,0.42,2026-03-18,840,N20,VIIRS,l,2,309.61,3.01,D,0,405,1307916508,,,industrial,,,769.11,0,2,13,0.769,0.07596172622534661,0.08426125976400199,-0.1328125
22.80784,72.5648,302.61,0.39,0.36,2026-03-19,2049,N20,VIIRS,n,2,289.82,0.28,N,0,49,197365170,,,industrial,,,2918.5,0,0,0,2.919,0.44398340248962653,0.08970610863209724,-0.5322455322455323
22.97388,72.81726,301.26,0.55,0.43,2026-03-20,2030,N20,VIIRS,n,2,290.11,0.46,N,0,194,663105999,,,industrial,,,1364.66,0,0,1,1.365,0.7665742374590371,-0.22732049036777582,-0.7159647404505387
22.75499,72.32404,336.84,0.37,0.58,2026-03-21,744,N20,VIIRS,n,2,294.74,3.07,D,0,328,920069480,,,industrial,,,1067.87,0,0,4,1.068,0.2892561983471074,0.04755784061696658,-0.4430379746835443
22.97641,72.43799,342.65,0.36,0.57,2026-03-21,744,N20,VIIRS,n,2,297.32,3.07,D,0,129,651103905,,,industrial,,,3921.34,0,0,0,3.921,0.5028248587570622,-0.14556416881998277,-0.535205848403232
22.97737,72.4377,340.43,0.36,0.57,2026-03-21,744,N20,VIIRS,n,2,296.42,2.5,D,0,129,651103905,,,industrial,,,4011.53,0,0,0,4.012,0.8736039226368837,-0.3923076923076923,-0.7883515340613625
22.79262,72.49578,340.71,0.44,0.62,2026-03-22,905,N20,VIIRS,n,2,302.45,5.37,D,0,224,674885115,,,industrial,,,8168.81,0,0,0,8.169,0.15891341256366723,0.08694489031567683,-0.31648987463837996
22.79391,72.49732,330.15,0.44,0.62,2026-03-22,905,N20,VIIRS,l,2,301.32,2.94,D,0,224,674885115,,,industrial,,,8075.11,0,0,0,8.075,0.2693120450810049,0.07209062821833162,-0.36343001261034047
22.85634,72.61441,337.89,0.45,0.63,2026-03-22,905,N20,VIIRS,n,2,299.87,3.55,D,0,166,653193658,,,industrial,,,1330.41,0,0,3,1.33,0.4161290322580645,0.027326440177252585,-0.4633333333333333
22.86575,72.52106,330.57,0.44,0.62,2026-03-22,905,N20,VIIRS,l,2,302.21,2.67,D,0,200,663471281,,,industrial,,,5134.47,0,0,0,5.134,0.20373250388802489,0.29572338489535943,-0.32837528604118993
22.96972,72.30669,333.33,0.43,0.62,2026-03-22,905,N20,VIIRS,n,2,302.13,5.42,D,0,330,920069485,,,,works,,2028.27,0,0,0,2.028,0.12280701754385964,-0.03294509151414309,-0.16102487376098748
22.97167,72.30365,341.38,0.43,0.62,2026-03-22,905,N20,VIIRS,n,2,303.44,2.38,D,0,330,920069485,,,,works,,1649.78,0,0,3,1.65,0.1686377573368375,0.26864035087719296,-0.2771661081857348
