latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,index_right,osm_id,nearest_industry_name,nearest_industry_type,nearest_landuse,nearest_man_made,nearest_power,nearest_industry_distance_m,industries_within_500m,industries_within_1km,industries_within_2km,nearest_industry_distance_km
22.79391,72.49732,330.15,0.44,0.62,2026-03-22,905,N20,VIIRS,l,2,301.32,2.94,D,0,224,674885115,,,industrial,,,8075.11,0,0,0,8.075
22.85634,72.61441,337.89,0.45,0.63,2026-03-22,905,N20,VIIRS,n,2,299.87,3.55,D,0,166,653193658,,,industrial,,,1330.41,0,0,3,1.33
22.86575,72.52106,330.57,0.44,0.62,2026-03-22,905,N20,VIIRS,l,2,302.21,2.67,D,0,200,663471281,,,industrial,,,5134.47,0,0,0,5.134
22.96972,72.30669,333.33,0.43,0.62,2026-03-22,905,N20,VIIRS,n,2,302.13,5.42,D,0,330,920069485,,,,works,,2028.27,0,0,0,2.028
22.97167,72.30365,341.38,0.43,0.62,2026-03-22,905,N20,VIIRS,n,2,303.44,2.38,D,0,330,920069485,,,,works,,1649.78,0,0,3,1.65
23.16089,72.2728,332.07,0.43,0.62,2026-03-22,905,N20,VIIRS,n,2,299.67,1.59,D,0,431,1381311459,,,industrial,,,8715.84,0,0,0,8.716
23.20924,72.2981,345.39,0.43,0.62,2026-03-22,905,N20,VIIRS,n,2,300.32,3.48,D,0,431,1381311459,,,industrial,,,5038.44,0,0,0,5.038
23.21135,72.29937,352.51,0.43,0.62,2026-03-22,905,N20,VIIRS,n,2,301.66,5.22,D,0,431,1381311459,,,industrial,,,4962.7,0,0,0,4.963
22.81513,72.38505,342.66,0.43,0.46,2026-03-23,846,N20,VIIRS,n,2,307.47,7.84,D,0,230,871656250,,,industrial,,,795.57,0,3,3,0.796
22.81946,72.4229,331.75,0.43,0.46,2026-03-23,846,N20,VIIRS,l,2,303.32,2.74,D,0,231,871656251,,,industrial,,,4436.1,0,0,0,4.436
22.93538,72.38679,341.58,0.43,0.46,2026-03-23,846,N20,VIIRS,n,2,307.54,3.66,D,0,147,651103946,,,industrial,,,4462.78,0,0,0,4.463
22.94121,72.43755,337.01,0.43,0.46,2026-03-23,846,N20,VIIRS,n,2,303.85,3.44,D,0,257,871663130,,,,works,,1275.92,0,0,7,1.276
22.94282,72.48921,337.89,0.44,0.46,2026-03-23,846,N20,VIIRS,n,2,307.64,7.92,D,0,150,651103952,,,industrial,,,2141.48,0,0,0,2.141
22.9433,72.4935,347.87,0.44,0.46,2026-03-23,846,N20,VIIRS,n,2,306.96,7.92,D,0,150,651103952,,,industrial,,,2375.75,0,0,0,2.376
22.94755,72.49294,332.92,0.44,0.46,2026-03-23,846,N20,VIIRS,l,2,305.36,7.92,D,0,150,651103952,,,industrial,,,2014.24,0,0,0,2.014
22.98929,72.44418,332.33,0.44,0.46,2026-03-23,846,N20,VIIRS,l,2,305.78,5.06,D,0,153,651103958,,,industrial,,,4302.94,0,0,0,4.303
22.97839,72.56555,312.46,0.42,0.45,2026-03-23,2114,N20,VIIRS,n,2,290.99,1.32,N,2,226,730859587,,,industrial,,,312.77,1,3,7,0.313
22.9001,72.54078,338.29,0.46,0.39,2026-03-25,809,N20,VIIRS,l,2,313.2,4.95,D,0,200,663471281,,,industrial,,,3707.3,0,0,0,3.707
22.90485,72.6528,343.68,0.45,0.39,2026-03-25,809,N20,VIIRS,n,2,305.4,5.74,D,0,196,663457137,,,industrial,,,2001.32,0,0,0,2.001
23.15413,72.45323,305.62,0.48,0.4,2026-03-25,2037,N20,VIIRS,n,2,288.62,0.88,N,0,343,920078109,,,,works,,434.21,1,8,24,0.434
22.81597,72.42524,340.21,0.57,0.52,2026-03-26,750,N20,VIIRS,n,2,306.28,6.63,D,0,231,871656251,,,industrial,,,4567.73,0,0,0,4.568
22.77055,72.26617,342.71,0.59,0.7,2026-03-27,731,N20,VIIRS,n,2,300.3,5.74,D,0,155,651106993,,,industrial,,,4721.89,0,0,0,4.722
22.77288,72.2662,346.77,0.58,0.7,2026-03-27,731,N20,VIIRS,n,2,299.25,7.43,D,0,155,651106993,,,industrial,,,4843.12,0,0,0,4.843
22.82045,72.5416,330.62,0.56,0.69,2026-03-27,912,N20,VIIRS,l,2,301.69,3.76,D,0,49,197365170,,,industrial,,,4775.49,0,0,0,4.775
23.01342,72.28349,339.03,0.54,0.68,2026-03-27,912,N20,VIIRS,n,2,300.99,3.09,D,0,297,920036328,,,,works,,922.53,0,1,23,0.923
23.05063,72.27502,339.35,0.54,0.68,2026-03-27,912,N20,VIIRS,n,2,300.36,4.43,D,0,211,663776377,,,industrial,,,1771.81,0,0,2,1.772
23.21547,72.43324,330.37,0.55,0.68,2026-03-27,912,N20,VIIRS,l,2,300.86,3.58,D,0,448,13478804,,,,,generator,4253.98,0,0,0,4.254
22.98062,72.56441,305.97,0.52,0.67,2026-03-27,2139,N20,VIIRS,n,2,294.65,1.5,N,2,226,730859587,,,industrial,,,516.34,0,4,9,0.516
22.95219,72.40082,331.98,0.54,0.51,2026-03-28,853,N20,VIIRS,n,2,301.5,3.98,D,0,147,651103946,,,industrial,,,4581.92,0,0,0,4.582
23.0425,72.33364,345.96,0.54,0.51,2026-03-28,853,N20,VIIRS,n,2,301.73,12.56,D,0,209,663762914,,,industrial,,,2410.09,0,0,0,2.41
23.04304,72.33891,343.78,0.54,0.51,2026-03-28,853,N20,VIIRS,n,2,304.44,12.56,D,0,209,663762914,,,industrial,,,2670.75,0,0,0,2.671
23.04467,72.33624,367.0,0.54,0.51,2026-03-28,853,N20,VIIRS,h,2,304.55,21.75,D,0,209,663762914,,,industrial,,,2723.66,0,0,0,2.724
23.13341,72.34417,342.59,0.54,0.51,2026-03-28,853,N20,VIIRS,n,2,301.31,5.12,D,0,430,1378877884,,,industrial,,,5611.87,0,0,0,5.612
