latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,index_right,osm_id,nearest_industry_name,nearest_industry_type,nearest_landuse,nearest_man_made,nearest_power,nearest_industry_distance_m,industries_within_500m,industries_within_1km,industries_within_2km,nearest_industry_distance_km
23.14301,72.55698,340.36,0.55,0.51,2026-04-29,853,N20,VIIRS,l,2,311.42,4.35,D,0,43,116801086,ICD Khodiyar depot,,industrial,,,2590.24,0,0,0,2.59
22.9789,72.56432,311.47,0.32,0.54,2026-05-04,2127,N20,VIIRS,n,2,295.65,1.57,N,2,226,730859587,,,industrial,,,447.25,1,3,7,0.447
22.86737,72.53522,343.73,0.52,0.42,2026-05-05,840,N20,VIIRS,n,2,307.64,10.24,D,0,200,663471281,,,industrial,,,3699.31,0,0,0,3.699
23.02414,72.26765,345.41,0.38,0.43,2026-05-07,803,N20,VIIRS,n,2,312.14,7.03,D,0,298,920036329,,,,works,,670.05,0,9,25,0.67
22.9559,72.34708,308.8,0.4,0.44,2026-05-07,2031,N20,VIIRS,n,2,296.17,1.04,N,0,202,663551859,,,industrial,,,6173.06,0,0,0,6.173
22.77398,72.62425,351.39,0.44,0.62,2026-05-09,905,N20,VIIRS,n,2,308.06,5.29,D,0,181,661498578,,,industrial,,,1773.59,0,0,4,1.774
22.77813,72.62357,351.73,0.43,0.62,2026-05-09,905,N20,VIIRS,n,2,312.46,6.35,D,0,181,661498578,,,industrial,,,1479.22,0,0,5,1.479
22.80109,72.33934,341.48,0.42,0.61,2026-05-09,905,N20,VIIRS,n,2,313.0,2.34,D,0,329,920069481,,,industrial,,,846.06,0,1,2,0.846
22.97745,72.56644,309.65,0.4,0.6,2026-05-09,2133,N20,VIIRS,n,2,297.31,0.54,N,2,226,730859587,,,industrial,,,226.56,1,2,7,0.227
22.88142,72.34779,347.21,0.42,0.45,2026-05-10,846,N20,VIIRS,l,2,319.54,13.99,D,0,242,871663114,,,industrial,,,894.71,0,1,1,0.895
23.235,72.31001,346.16,0.42,0.45,2026-05-10,847,N20,VIIRS,l,2,316.38,5.15,D,0,350,973430690,Shiyapura Hydro Power Plant No.1,,industrial,,plant,3099.52,0,0,0,3.1
22.97958,72.56837,312.38,0.39,0.36,2026-05-11,2056,N20,VIIRS,n,2,300.23,0.62,N,0,226,730859587,,,industrial,,,176.84,1,3,8,0.177
23.08735,72.64814,342.11,0.57,0.52,2026-05-13,750,N20,VIIRS,n,2,308.63,4.78,D,0,68,321003786,,,industrial,,,1666.12,0,0,1,1.666
23.24856,72.34502,345.27,0.59,0.53,2026-05-13,750,N20,VIIRS,n,2,309.35,7.52,D,0,350,973430690,Shiyapura Hydro Power Plant No.1,,industrial,,plant,844.63,0,1,1,0.845
23.00257,72.43394,333.68,0.58,0.7,2026-05-14,731,N20,VIIRS,l,2,306.04,2.1,D,0,416,1319844105,,,industrial,container_terminal,,5608.17,0,0,0,5.608
22.97653,72.56532,308.48,0.5,0.66,2026-05-14,2140,N20,VIIRS,n,2,295.55,0.78,N,2,226,730859587,,,industrial,,,370.66,1,2,7,0.371
23.02881,72.27522,315.29,0.48,0.65,2026-05-14,2140,N20,VIIRS,n,2,295.83,1.14,N,0,299,920036330,,,,works,,134.84,6,17,22,0.135
23.03378,72.27535,312.79,0.48,0.65,2026-05-14,2140,N20,VIIRS,n,2,295.73,0.83,N,0,211,663776377,,,industrial,,,404.42,2,11,21,0.404
22.91651,72.39276,343.67,0.53,0.5,2026-05-15,853,N20,VIIRS,l,2,315.0,7.92,D,0,135,651103919,,,industrial,,,3092.76,0,0,0,3.093
22.99721,72.47493,342.87,0.44,0.38,2026-05-16,834,N20,VIIRS,l,2,317.51,9.16,D,0,112,499625699,,,industrial,,,2446.67,0,0,0,2.447
22.89622,72.43168,311.26,0.42,0.38,2026-05-17,2043,N20,VIIRS,n,2,298.74,1.24,N,0,146,651103944,,,industrial,,,574.52,0,1,7,0.575
23.02804,72.26569,319.84,0.43,0.38,2026-05-17,2043,N20,VIIRS,n,2,298.52,1.51,N,0,313,920036344,,,industrial,,,426.59,1,4,24,0.427
23.10855,72.38129,337.78,0.47,0.48,2026-05-18,756,N20,VIIRS,n,2,281.28,2.98,D,0,433,1392931398,,,industrial,,,4323.79,0,0,0,4.324
22.77143,72.3934,348.66,0.47,0.64,2026-05-19,738,N20,VIIRS,n,2,316.61,13.22,D,0,231,871656251,,,industrial,,,4136.45,0,0,0,4.136
22.90704,72.42893,367.0,0.47,0.64,2026-05-19,738,N20,VIIRS,h,2,311.37,8.89,D,0,124,651103890,,,industrial,,,521.2,0,5,9,0.521
22.90734,72.42881,367.0,0.46,0.64,2026-05-19,738,N20,VIIRS,h,2,311.57,11.29,D,0,124,651103890,,,industrial,,,488.08,1,5,9,0.488
23.07731,72.45467,337.22,0.46,0.63,2026-05-19,738,N20,VIIRS,l,2,309.51,2.62,D,0,285,920032697,,,industrial,,,2964.09,0,0,0,2.964
23.12602,72.52242,307.09,0.62,0.71,2026-05-19,2146,N20,VIIRS,n,2,296.65,0.88,N,0,367,1107167576,,,industrial,,,3922.1,0,0,0,3.922
23.07141,72.39342,334.64,0.33,0.56,2026-05-20,859,N20,VIIRS,l,2,306.02,1.3,D,0,314,920036345,,,industrial,,,3717.0,0,0,0,3.717
22.98005,72.5644,306.34,0.64,0.54,2026-05-20,2127,N20,VIIRS,n,2,295.51,2.5,N,2,226,730859587,,,industrial,,,484.5,1,4,8,0.484
22.77568,72.33967,338.88,0.51,0.41,2026-05-21,840,N20,VIIRS,l,2,312.97,0.91,D,0,116,542943278,Kerala GIDC,,industrial,,,905.24,0,3,11,0.905
22.83762,72.65168,343.24,0.53,0.42,2026-05-21,840,N20,VIIRS,l,2,315.81,11.67,D,0,191,661498589,,,industrial,,,2975.02,0,0,0,2.975
22.76736,72.29189,309.93,0.49,0.4,2026-05-21,2109,N20,VIIRS,n,2,297.58,0.93,N,0,155,651106993,,,industrial,,,2387.22,0,0,0,2.387
22.91299,72.44592,310.9,0.39,0.36,2026-05-22,2050,N20,VIIRS,n,2,298.49,0.68,N,0,245,871663118,,,,works,,309.83,2,6,13,0.31
23.01477,72.3363,312.2,0.39,0.36,2026-05-22,2050,N20,VIIRS,n,2,298.79,0.76,N,0,47,196518647,,,industrial,,,512.36,0,1,2,0.512
22.80524,72.28105,337.54,0.39,0.44,2026-05-23,803,N20,VIIRS,l,2,308.32,4.52,D,0,233,871656253,,,industrial,,,4996.56,0,0,0,4.997
22.88043,72.5886,334.56,0.71,0.75,2026-05-25,725,N20,VIIRS,n,2,299.93,2.49,D,0,157,653193649,,,industrial,,,363.91,2,7,12,0.364
22.86722,72.3024,335.37,0.42,0.61,2026-05-25,906,N20,VIIRS,n,2,304.1,1.41,D,0,242,871663114,,,industrial,,,5744.55,0,0,0,5.745
22.94851,72.34847,337.81,0.42,0.61,2026-05-25,906,N20,VIIRS,l,2,308.23,4.08,D,0,330,920069485,,,,works,,6915.93,0,0,0,6.916
22.94888,72.35261,344.88,0.42,0.61,2026-05-25,906,N20,VIIRS,n,2,308.26,5.45,D,0,202,663551859,,,industrial,,,6890.51,0,0,0,6.891
23.05617,72.30385,354.04,0.42,0.61,2026-05-25,906,N20,VIIRS,n,2,308.4,8.38,D,0,273,908926071,,,,,generator,2543.45,0,0,0,2.543
22.9794,72.56454,315.95,0.4,0.6,2026-05-25,2134,N20,VIIRS,n,2,297.46,0.98,N,2,226,730859587,,,industrial,,,441.64,1,4,7,0.442
22.94755,72.34718,342.75,0.42,0.45,2026-05-26,847,N20,VIIRS,l,2,316.25,0.99,D,0,330,920069485,,,,works,,6854.71,0,0,0,6.855
22.97136,72.29837,339.29,0.42,0.45,2026-05-26,847,N20,VIIRS,l,2,313.48,1.29,D,0,330,920069485,,,,works,,1236.52,0,0,3,1.237
22.97887,72.56647,319.96,0.41,0.45,2026-05-26,2115,N20,VIIRS,n,2,299.42,1.2,N,2,226,730859587,,,industrial,,,236.15,1,3,7,0.236
22.81406,72.27465,344.82,0.39,0.36,2026-05-27,828,N20,VIIRS,l,2,319.21,3.15,D,0,233,871656253,,,industrial,,,6079.68,0,0,0,6.08
22.81517,72.28223,343.32,0.39,0.36,2026-05-27,828,N20,VIIRS,l,2,317.87,2.37,D,0,233,871656253,,,industrial,,,5541.87,0,0,0,5.542
22.88746,72.6228,344.81,0.4,0.37,2026-05-27,828,N20,VIIRS,l,2,319.54,8.97,D,0,158,653193650,,,industrial,,,2887.53,0,0,0,2.888
22.97866,72.56733,315.96,0.39,0.36,2026-05-27,2056,N20,VIIRS,n,2,300.19,0.54,N,2,226,730859587,,,industrial,,,146.93,1,2,7,0.147
22.97047,72.55386,316.45,0.48,0.4,2026-05-28,2038,N20,VIIRS,n,2,298.95,0.71,N,0,82,326674328,,,industrial,,,79.76,1,3,6,0.08
22.84821,72.34388,341.46,0.53,0.67,2026-05-30,912,N20,VIIRS,n,2,295.71,3.73,D,0,240,871663112,,,industrial,,,2152.14,0,0,0,2.152
23.09093,72.35571,337.41,0.54,0.68,2026-05-30,912,N20,VIIRS,n,2,295.83,2.72,D,0,314,920036345,,,industrial,,,4864.28,0,0,0,4.864
23.09496,72.35213,332.71,0.54,0.68,2026-05-30,912,N20,VIIRS,n,2,296.21,8.02,D,0,266,908926064,,,,,generator,5209.23,0,0,0,5.209
23.09537,72.35742,367.0,0.54,0.68,2026-05-30,912,N20,VIIRS,h,2,296.1,10.38,D,0,314,920036345,,,industrial,,,5307.47,0,0,0,5.307
