grid_lat,grid_lon,first_detection,last_detection,total_detections,detection_days,average_frp,maximum_frp,latitude,longitude,observation_period_days,detection_frequency,persistence
22.94,72.35,2026-05-25,2026-05-25,1,1,5.45,5.45,22.94888,72.35261,1,1.0,Non-Persistent
22.87,72.69,2026-03-30,2026-03-30,1,1,5.43,5.43,22.87034,72.6946,1,1.0,Non-Persistent
22.96,72.3,2026-03-22,2026-03-22,1,1,5.42,5.42,22.96972,72.30669,1,1.0,Non-Persistent
22.91,72.27,2026-03-30,2026-03-30,1,1,5.4,5.4,22.91519,72.27989,1,1.0,Non-Persistent
23.04,72.31,2026-04-09,2026-04-09,1,1,5.38,5.38,23.04877,72.3171,1,1.0,Non-Persistent
22.79,72.49,2026-03-22,2026-03-22,2,1,4.155,5.37,22.793264999999998,72.49655,1,1.0,Non-Persistent
23.11,72.68,2026-04-06,2026-04-06,2,1,5.25,5.25,23.11109,72.68536499999999,1,1.0,Non-Persistent
23.21,72.29,2026-03-22,2026-03-22,1,1,5.22,5.22,23.21135,72.29937,1,1.0,Non-Persistent
23.23,72.31,2026-05-10,2026-05-10,1,1,5.15,5.15,23.235,72.31001,1,1.0,Non-Persistent
22.86,72.45,2026-03-08,2026-03-08,1,1,5.14,5.14,22.86525,72.4506,1,1.0,Non-Persistent
23.13,72.34,2026-03-28,2026-03-28,1,1,5.12,5.12,23.13341,72.34417,1,1.0,Non-Persistent
22.78,72.53,2026-03-17,2026-03-17,1,1,5.1,5.1,22.78164,72.53414,1,1.0,Non-Persistent
22.9,72.27,2026-03-30,2026-03-30,1,1,5.07,5.07,22.90777,72.27724,1,1.0,Non-Persistent
22.91,72.28,2026-03-30,2026-03-30,1,1,5.07,5.07,22.91181,72.28054,1,1.0,Non-Persistent
22.98,72.44,2026-03-23,2026-03-23,1,1,5.06,5.06,22.98929,72.44418,1,1.0,Non-Persistent
23.14,72.31,2026-03-28,2026-03-28,2,1,4.825,4.98,23.14593,72.31492,1,1.0,Non-Persistent
22.9,72.54,2026-03-25,2026-03-25,1,1,4.95,4.95,22.9001,72.54078,1,1.0,Non-Persistent
23.01,72.39,2026-04-28,2026-04-28,1,1,4.84,4.84,23.01009,72.39418,1,1.0,Non-Persistent
22.91,72.25,2026-03-01,2026-03-01,1,1,4.83,4.83,22.91384,72.25944,1,1.0,Non-Persistent
23.08,72.64,2026-05-13,2026-05-13,1,1,4.78,4.78,23.08735,72.64814,1,1.0,Non-Persistent
22.78,72.46,2026-03-15,2026-03-15,1,1,4.72,4.72,22.7803,72.46003,1,1.0,Non-Persistent
22.79,72.43,2026-03-16,2026-03-16,1,1,4.7,4.7,22.7951,72.43128,1,1.0,Non-Persistent
22.8,72.28,2026-05-23,2026-05-23,1,1,4.52,4.52,22.80524,72.28105,1,1.0,Non-Persistent
23.05,72.27,2026-03-27,2026-03-27,1,1,4.43,4.43,23.05063,72.27502,1,1.0,Non-Persistent
22.98,72.41,2026-04-09,2026-04-09,2,1,4.41,4.41,22.98896,72.41626,1,1.0,Non-Persistent
22.83,72.57,2026-03-29,2026-03-29,1,1,4.38,4.38,22.83125,72.57391,1,1.0,Non-Persistent
23.14,72.55,2026-04-29,2026-04-29,1,1,4.35,4.35,23.14301,72.55698,1,1.0,Non-Persistent
22.94,72.52,2026-03-31,2026-03-31,1,1,4.33,4.33,22.94102,72.52146,1,1.0,Non-Persistent
22.87,72.47,2026-04-02,2026-04-02,1,1,4.09,4.09,22.87535,72.47784,1,1.0,Non-Persistent
22.84,72.51,2026-04-02,2026-04-02,1,1,3.94,3.94,22.84739,72.51508,1,1.0,Non-Persistent
22.88,72.64,2026-03-29,2026-03-29,2,1,3.255,3.88,22.885355,72.64232,1,1.0,Non-Persistent
22.77,72.45,2026-03-15,2026-03-15,1,1,3.86,3.86,22.77944,72.45569,1,1.0,Non-Persistent
23.07,72.31,2026-04-01,2026-04-01,1,1,3.82,3.82,23.07302,72.31764,1,1.0,Non-Persistent
22.91,72.32,2026-03-09,2026-03-09,1,1,3.78,3.78,22.91593,72.32841,1,1.0,Non-Persistent
22.82,72.54,2026-03-27,2026-03-27,1,1,3.76,3.76,22.82045,72.5416,1,1.0,Non-Persistent
22.84,72.34,2026-05-30,2026-05-30,1,1,3.73,3.73,22.84821,72.34388,1,1.0,Non-Persistent
22.93,72.38,2026-03-23,2026-03-23,1,1,3.66,3.66,22.93538,72.38679,1,1.0,Non-Persistent
22.85,72.48,2026-03-29,2026-03-29,1,1,3.65,3.65,22.8515,72.48209,1,1.0,Non-Persistent
22.92,72.51,2026-04-22,2026-04-22,2,1,3.5700000000000003,3.64,22.924305,72.51637500000001,1,1.0,Non-Persistent
23.21,72.43,2026-03-27,2026-03-27,1,1,3.58,3.58,23.21547,72.43324,1,1.0,Non-Persistent
22.85,72.61,2026-03-22,2026-03-22,1,1,3.55,3.55,22.85634,72.61441,1,1.0,Non-Persistent
23.2,72.29,2026-03-22,2026-03-22,1,1,3.48,3.48,23.20924,72.2981,1,1.0,Non-Persistent
22.93,72.25,2026-04-05,2026-04-05,1,1,3.44,3.44,22.93506,72.25756,1,1.0,Non-Persistent
22.94,72.43,2026-03-23,2026-03-23,1,1,3.44,3.44,22.94121,72.43755,1,1.0,Non-Persistent
22.85,72.42,2026-04-08,2026-04-08,1,1,3.41,3.41,22.85114,72.42912,1,1.0,Non-Persistent
22.93,72.26,2026-04-27,2026-04-27,1,1,3.38,3.38,22.93092,72.26733,1,1.0,Non-Persistent
22.81,72.27,2026-05-27,2026-05-27,1,1,3.15,3.15,22.81406,72.27465,1,1.0,Non-Persistent
23.01,72.28,2026-03-27,2026-03-27,1,1,3.09,3.09,23.01342,72.28349,1,1.0,Non-Persistent
22.89,72.33,2026-04-08,2026-04-08,1,1,3.08,3.08,22.89587,72.33046,1,1.0,Non-Persistent
22.75,72.32,2026-03-21,2026-03-21,1,1,3.07,3.07,22.75499,72.32404,1,1.0,Non-Persistent
22.97,72.43,2026-03-21,2026-03-21,2,1,2.785,3.07,22.97689,72.43784500000001,1,1.0,Non-Persistent
23.02,72.59,2026-03-18,2026-03-18,1,1,3.01,3.01,23.02453,72.59813,1,1.0,Non-Persistent
23.1,72.38,2026-05-18,2026-05-18,1,1,2.98,2.98,23.10855,72.38129,1,1.0,Non-Persistent
22.89,72.5,2026-04-08,2026-04-08,1,1,2.95,2.95,22.89433,72.50488,1,1.0,Non-Persistent
23.24,72.26,2026-03-29,2026-03-29,1,1,2.82,2.82,23.24766,72.26569,1,1.0,Non-Persistent
22.86,72.52,2026-03-22,2026-03-22,1,1,2.67,2.67,22.86575,72.52106,1,1.0,Non-Persistent
23.07,72.45,2026-05-19,2026-05-19,1,1,2.62,2.62,23.07731,72.45467,1,1.0,Non-Persistent
22.99,72.54,2026-04-21,2026-04-21,1,1,2.55,2.55,22.99586,72.54735,1,1.0,Non-Persistent
23.23,72.3,2026-04-02,2026-04-02,1,1,2.55,2.55,23.23714,72.30925,1,1.0,Non-Persistent
22.92,72.27,2026-04-22,2026-04-22,1,1,2.51,2.51,22.92534,72.27306,1,1.0,Non-Persistent
