event_id,latitude,longitude,acq_date,acq_time,satellite,instrument,nearest_industry_name,nearest_industry_type,nearest_landuse,nearest_man_made,nearest_power,nearest_industry_distance_km
FIRMS_0064,22.95219,72.40082,2026-03-28,853,N20,VIIRS,,,industrial,,,4.582
FIRMS_0065,23.0425,72.33364,2026-03-28,853,N20,VIIRS,,,industrial,,,2.41
FIRMS_0066,23.04304,72.33891,2026-03-28,853,N20,VIIRS,,,industrial,,,2.671
FIRMS_0067,23.04467,72.33624,2026-03-28,853,N20,VIIRS,,,industrial,,,2.724
FIRMS_0068,23.13341,72.34417,2026-03-28,853,N20,VIIRS,,,industrial,,,5.612
FIRMS_0069,23.14455,72.31611,2026-03-28,853,N20,VIIRS,,,industrial,,,6.006
FIRMS_0070,23.14731,72.31373,2026-03-28,853,N20,VIIRS,,,industrial,,,5.98
FIRMS_0071,22.99295,72.67189,2026-03-28,2121,N20,VIIRS,Vastral Bus Depot,bus_depot,industrial,,,2.177
FIRMS_0072,22.83125,72.57391,2026-03-29,834,N20,VIIRS,,,industrial,,,1.711
FIRMS_0073,22.8515,72.48209,2026-03-29,834,N20,VIIRS,Shri Raj meatal,,,works,,7.392
FIRMS_0074,22.88402,72.64179,2026-03-29,834,N20,VIIRS,,,industrial,,,3.683
FIRMS_0075,22.88669,72.64285,2026-03-29,834,N20,VIIRS,,,industrial,,,3.438
FIRMS_0076,23.24766,72.26569,2026-03-29,834,N20,VIIRS,Shiyapura Hydro Power Plant No.1,,industrial,,plant,7.505
FIRMS_0077,22.7878,72.48606,2026-03-30,815,N20,VIIRS,,,industrial,,,8.949
FIRMS_0078,22.87034,72.6946,2026-03-30,815,N20,VIIRS,,,industrial,,,4.194
FIRMS_0079,22.90777,72.27724,2026-03-30,815,N20,VIIRS,,,industrial,,,6.562
FIRMS_0080,22.91181,72.28054,2026-03-30,815,N20,VIIRS,,,industrial,,,6.268
FIRMS_0081,22.91519,72.27989,2026-03-30,815,N20,VIIRS,,,industrial,,,5.898
FIRMS_0082,22.94102,72.52146,2026-03-31,756,N20,VIIRS,,,industrial,,,3.298
FIRMS_0083,23.0004,72.32112,2026-04-01,737,N20,VIIRS,,,industrial,,,2.318
FIRMS_0084,23.07302,72.31764,2026-04-01,738,N20,VIIRS,Canal Solar Power Project,,,,plant,1.922
FIRMS_0085,22.84739,72.51508,2026-04-02,859,N20,VIIRS,,,industrial,,,6.554
FIRMS_0086,22.87535,72.47784,2026-04-02,859,N20,VIIRS,Shri Raj meatal,,,works,,5.21
FIRMS_0087,23.23714,72.30925,2026-04-02,859,N20,VIIRS,Shiyapura Hydro Power Plant No.1,,industrial,,plant,3.112
FIRMS_0088,23.03316,72.45387,2026-04-03,840,N20,VIIRS,,,industrial,,,2.456
FIRMS_0089,22.93506,72.25756,2026-04-05,803,N20,VIIRS,,,industrial,,,3.18
FIRMS_0090,23.21997,72.28629,2026-04-05,803,N20,VIIRS,Shiyapura Hydro Power Plant No.1,,industrial,,plant,5.98
FIRMS_0091,23.11073,72.68373,2026-04-06,744,N20,VIIRS,,,industrial,,,1.924
FIRMS_0092,23.11145,72.687,2026-04-06,744,N20,VIIRS,,,industrial,,,2.218
FIRMS_0093,22.9166,72.2655,2026-04-07,905,N20,VIIRS,,,industrial,,,5.307
FIRMS_0094,22.98144,72.56304,2026-04-07,2133,N20,VIIRS,,,industrial,,,0.684
FIRMS_0095,22.85114,72.42912,2026-04-08,846,N20,VIIRS,,,industrial,,,2.634
FIRMS_0096,22.89433,72.50488,2026-04-08,846,N20,VIIRS,,,,works,,6.142
FIRMS_0097,22.89587,72.33046,2026-04-08,846,N20,VIIRS,,,industrial,,,3.161
FIRMS_0098,22.97749,72.56292,2026-04-08,2115,N20,VIIRS,,,industrial,,,0.582
FIRMS_0099,22.80832,72.51103,2026-04-09,828,N20,VIIRS,,,industrial,,,7.655
FIRMS_0100,22.98868,72.41434,2026-04-09,828,N20,VIIRS,,,industrial,container_terminal,,5.059
FIRMS_0101,22.98924,72.41818,2026-04-09,828,N20,VIIRS,,,industrial,container_terminal,,5.253
FIRMS_0102,23.04877,72.3171,2026-04-09,828,N20,VIIRS,,,industrial,,,2.653
FIRMS_0103,22.96495,72.54324,2026-04-09,2056,N20,VIIRS,,,industrial,,,1.326
FIRMS_0104,23.03078,72.3464,2026-04-10,809,N20,VIIRS,,,,,generator,2.102
FIRMS_0105,22.90541,72.431,2026-04-10,2037,N20,VIIRS,esdee paints near,,,works,,0.605
FIRMS_0106,22.99735,72.49593,2026-04-10,2037,N20,VIIRS,Rekson Rediator,,,works,,1.112
FIRMS_0107,23.18023,72.4329,2026-04-11,750,N20,VIIRS,,,,,generator,0.845
FIRMS_0108,23.14765,72.59921,2026-04-13,853,N20,VIIRS,,,industrial,,,2.474
FIRMS_0109,23.1508,72.59597,2026-04-13,853,N20,VIIRS,,,industrial,,,2.831
FIRMS_0110,22.81889,72.38586,2026-04-14,834,N20,VIIRS,,,industrial,,,1.179
FIRMS_0111,22.81947,72.39011,2026-04-14,834,N20,VIIRS,,,industrial,,,1.502
